Name,Description,Status,Priority,Due Date,Tags,Assignee
"Implementar responsividade mobile completa","- Adicionar breakpoints responsivos em todo o tema
- Implementar layout dual drawer (temporary mobile, permanent desktop)
- Criar componente MobileCard para exibição em cards verticais
- Converter todas as tabelas para cards no mobile (Pacientes, Usuários, Acompanhantes, Sessões, Auditoria)
- Adicionar SwipeableDrawer no mobile com suporte a gestos nativos
- Implementar touch targets de 48-56px (Material Design + Apple HIG)
- Adicionar feedback tátil aprimorado com transform scale e transições 150ms
- Remover logo do menu mobile para economizar espaço vertical
- Melhorar header com título clicável para navegação home
- Auto-close do menu após navegação no mobile
- Aumentar ícones e texto para melhor legibilidade mobile
- Ajustar AppBar para sincronizar com expansão/contração do drawer desktop
- Implementar SearchBar responsivo com layout otimizado
- Remover tap highlight azul no iOS/Android
- Otimizar PageHeader para diferentes resoluções
- Seguir best practices de NN/g, Smashing Magazine, Material Design e Apple HIG",Done,High,2025-11-10,frontend;mobile;ux,
"Corrigir configurações de toast","- Ajustar autoClose duration para toast padrão e crítico
- Comentar opção theme nas configurações de toast
- Remover state errorMessage não utilizado em VerifyEmailPage
- Exibir erro toast diretamente",Done,Medium,2025-11-10,frontend;bugfix,
"Melhorar anotações de tipo em PatientInformation","- Remover imports não utilizados
- Melhorar anotações de tipo TypeScript no componente PatientInformation",Done,Low,2025-11-10,frontend;typescript,
"Implementar tela de auditoria","- Criar página de auditoria completa
- Integrar com endpoints de auditoria do backend
- Exibir logs de sessões, logins e perfis",Done,High,2025-11-10,frontend;feature,
"Implementar sistema de toast em todas as páginas","- Integrar biblioteca toast em toda aplicação
- Adicionar notificações de sucesso/erro em formulários
- Melhorar feedback visual para usuário",Done,Medium,2025-11-09,frontend;ux,
"Corrigir problemas de build","- Resolver problemas de compilação
- Atualizar dependências conflitantes
- Garantir build bem-sucedido",Done,High,2025-11-08,frontend;bugfix,
"Adicionar gerenciamento completo de acompanhantes","- Criar DTOs e camada de serviço para acompanhantes
- Implementar páginas de listagem, cadastro e edição
- Adicionar tabela virtualizada de acompanhantes
- Integrar navegação e roteamento
- Adicionar validação de formulários
- Melhorar tratamento de erros",Done,High,2025-11-08,frontend;feature;crud,
"Refatorar e atualizar componentes de pacientes","- Atualizar DTO de paciente
- Refatorar formulários de paciente
- Ajustar esquema de validação
- Melhorar segurança de tipos TypeScript
- Atualizar tabelas relacionadas",Done,Medium,2025-11-08,frontend;refactor,
"Configurar Storybook com stories completas","- Configurar global providers (QueryClient, ThemeProvider, MemoryRouter, AuthStore)
- Adicionar suporte para inicialização de queries
- Criar stories para componentes principais (Formulários, Tabelas, Navegação, UI)
- Criar stories para páginas (Autenticação, Gerenciamento)
- Remover nested routers
- Adicionar mocks de serviços
- Instalar @storybook/addon-actions",Done,Medium,2025-11-08,frontend;storybook;documentation,
"Melhorar fluxo de login/logout","- Login redireciona para menu se já autenticado
- logout() trata erros 401 e 404 corretamente
- Adicionar logs específicos para cada tipo de erro
- Melhorar UX evitando tela de login quando autenticado",Done,High,2025-11-08,frontend;auth;ux,
